"Meshcode","Shicode","PopT","Pop0_14","Pop15_64","Pop65over","Pop75over","Pop85over"
6341402113,1205,58.7343,4.8228,33.2426,19.1188,8.2676,1.2057
6341402114,1205,67.9798,5.5819,38.4754,22.1283,9.5690,1.3955
6341402115,1205,43.6857,3.0302,22.7267,14.7723,8.7119,3.0302
6341402116,1205,69.9077,4.8491,36.3682,23.6393,13.9411,4.8491
6341402117,1205,66.7277,3.9757,32.6304,27.7290,17.5420,7.3651
6341402118,1205,111.5838,5.9459,52.3235,51.9271,33.8914,15.2610
6341402119,1205,106.0993,5.6536,49.7517,49.3748,32.2255,14.5109
6341402120,1205,22.7190,1.7178,13.8114,6.8566,3.2513,0.8883
6341402121,1205,49.1640,3.3035,31.6713,13.3089,5.9028,1.4620
6341402122,1205,46.8957,2.9703,27.0887,15.8449,7.1116,2.1388
6341402123,1205,31.6002,1.9139,17.8813,11.0607,4.8807,1.4704
6341402124,1205,43.9499,3.0950,24.8719,14.8907,6.5130,1.5223
6341402125,1205,64.4839,4.5593,34.6512,21.5427,11.2381,3.7384
6341402126,1205,53.9157,3.8047,28.8773,18.0346,9.5357,3.1888
6341402127,1205,118.4616,7.8292,61.1644,44.7844,25.4325,9.8645
6341402128,1205,98.0659,9.9755,51.8018,32.7086,17.5343,6.2912
6341402130,1205,77.1097,7.3941,40.1393,29.0482,15.3163,4.7533
6341402131,1205,7.1294,0.6836,3.7112,2.6857,1.4161,0.4395
6341402132,1205,48.0966,3.1204,26.4529,17.7217,8.4155,2.9573
6341402133,1205,22.0297,1.0628,12.4642,8.0196,3.5750,1.3527
6341402134,1205,10.2199,0.4931,5.7823,3.7204,1.6585,0.6275
6341402135,1205,88.6232,6.3627,48.8564,29.3138,13.6343,4.3175
6341402136,1205,55.9604,4.0177,30.8500,18.5100,8.6093,2.7263
6341402137,1205,60.9893,6.7615,34.2143,16.9700,7.2173,1.7487
6341402138,1205,27.0186,3.5921,15.3054,6.7156,2.6550,0.4685
6341402140,1205,0.7961,0.0763,0.4144,0.2999,0.1581,0.0491
6341402141,1205,18.1214,1.7377,9.4331,6.8266,3.5995,1.1171
6341402142,1205,32.6012,2.0541,17.9884,11.9960,5.6577,2.0043
6341402143,1205,23.3532,1.1267,13.2130,8.5014,3.7898,1.4340
6341402144,1205,59.9202,2.8909,33.9022,21.8131,9.7239,3.6793
